pageName,postText,postDate,postLink
DramaAdd,อายุแค่ 12 ก็เป็นโจรซะแล้ว,2024-11-21T17:02:04.000Z,https://www.facebook.com/100044828388736/posts/1097519928418943
DramaAdd,"โปรดระวังมุกทักผิดคนในไลน์
แล้วส่งไฟล์ห่าไรไม่รู้ให้โหลด
พวกไฟล์ pdf สามารถแฝงไวรัสได้
ควรตั้งค่าไม่ให้คนที่ไม่ใช่เพื่อนในไลน์ส่งข้อความหาได้",2024-11-21T16:03:45.000Z,https://www.facebook.com/100044828388736/posts/1097488118422124
HKS2017,"ใจมันช้ำมามาก ‘ใหม่ ดาวิกา’ หยุดอัปเดตเรื่องฟ้องชาวเน็ต ขอโฟกัสเรื่องราวดีๆ ในชีวิต

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#ใหม่ดาวิกา #แม่หยัว #วางยาแมว #โหนกระแส",2024-11-21T17:30:01.000Z,https://www.facebook.com/100063145307143/posts/933045315476970
HKS2017,"‘ทนายเดชา’ ไม่หวั่นโดนร้องสภาทนายความฯ ยินดีไปชี้แจง ลั่นสัมพันธ์กับ 'ทนายตั้ม' ยังเป็นเพื่อนกันเหมือนเดิม

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#ทนายเดชา #สนธิลิ้มทองกุล #ทนายตั้ม #โหนกระแส",2024-11-21T16:59:03.000Z,https://www.facebook.com/100063145307143/posts/933028708811964
