pageName,postText,postDate,postLink
DramaAdd,"/me ทำหน้าแบบรอนในแฮรรี่พอตเตอร์ ""ร้ายกาจจจจ"" 
ถถถถถถ

จากแถลงของสภาเภสัชข้อสี่ หมายถึงปัญหาที่คนไข้ได้รับยาจากคลินิคเอกชน แต่ไม่มีการระบุชื่อยา ทั้งชื่อการค้า ชื่อสามัญ ไม่มีห่าอะไรเลย พอคนไข้กินยาแล้วมีปัญหา มาหาหมอที่ รพ ก็ไม่รู้ว่ายาอะไร เภสัชต้องเปิดตำรากันตาเหลือกว่ายาเชี่ยไรเนี่ย

แล้วพอให้ไปถามที่คลินิค ก็ไม่ค่อยยอมบอกชื่อยาซะด้วย อ้างว่ากลัวคนไข้ไปซื้อยากินเองจะเป็นอันตราย (แล้วไม่กลัวคนไข้บอกหมอที่ รพ ไม่ได้ว่ากินยาอะไรตอนเกิดผลข้างเคียงเหรอเพ่)

ซึ่งประเด็นนี้ที่สภาเภสัชสวนมากก็คือต้องการสื่อว่า คนที่ก่อปัญหาการ จ่ายยาแบบเป็นอันตรายกับผู้ป่วยโดยปิดบังข้อมูลไม่ให้ผู้ป่วยรู้ชื่อยา ไม่ใช่เภสัชนะจ๊ะ แต่คือหมอต่างหากและเป็นปัญหาเรื้อรังมานานแต่ไม่เห็นมีใครทำไรเล้ยยย

อนึ่ง ฉลากยาที่ถูกต้อง ต้องมีชื่อยาภาษาไทย (และภาษาอังกฤษเป็นออปชั่นเสริม) มีวิธีกินยาระบุไว้ครบถ้วน ว่ากินกี่เม็ด กินเวลาไหน กินก่อนหรือหลังอาหาร บลาๆ มีการเขียนคำเตือนผลข้างเคียงที่อาจเกิดขึ้นจากการกินยานั้น

ส่วนดราม่าระหว่างสองสภา แนะนำให้จับเข่าคุยกัน แล้วโรคไหนใน 32 กลุ่มอาการที่คิดว่าเป็นปัญหา เสี่ยงเกินไป ก็คุยกันว่าจะแก้ไขประกาศอะไรยังไงบ้าง เพื่อความปลอดภัยของคนไข้ แค่นั้นก็น่าจะจบนี่ครับ

อนึ่ง กฏหมายฉลากยามีใช้ซักพักละ ถ้าคนไข้ได้รับยาจากคลินิคไหน แล้วเจอแบบ ไม่เขียนห่าไรเลยบนซอง มาแบบเปล่าๆโล่งๆ อันนี้แจ้ง สสจ สบส ให้ดำเนินคดีได้ครับ ผิดกฏหมาย",2024-11-21T14:10:29.000Z,https://www.facebook.com/100044828388736/posts/1097423175095285
DramaAdd,ข่าวฝากประชาสัมพันธ์ ใครเป็นเจ้าของน้องติดต่อหา จขพ ด้วยจ้า,2024-11-21T13:46:36.000Z,https://www.facebook.com/100044828388736/posts/1097409088430027
DramaAdd,วันก่อนของแพทยสภาออกแถลง อันนี้ของสภาเภสัชออกแถลงในประเด็นเดียวกัน อ่านแป้บ,2024-11-21T13:45:00.000Z,https://www.facebook.com/100044828388736/posts/1097408245096778
ejan2016,ต้องหย่า ทั้งที่ยังรักมาก อีกไม่กี่วัน จะได้เห็นหน้าลูกแล้ว,2024-11-21T13:57:39.000Z,https://www.facebook.com/100081883222566/posts/566135549459214
ejan2016,"“ขนม” เปิดใจ! 
เลิกกับ “ครูเต้ย อภิวัฒน์”
ไร้มือที่ 3",2024-11-21T13:54:50.000Z,https://www.facebook.com/100081883222566/posts/566134612792641
ejan2016,หวัดดีนุด เราชื่อ #เอวา เสือสาวตาแป๋ว ดาวดวงใหม่ของเชียงใหม่ไนท์ซาฟารี ชมความตะมุตะมิได้เลยยยย เพราะน่ารักจนกลายเป็นไวรัลเต็มโซเชียล!,2024-11-21T13:45:06.000Z,https://www.facebook.com/100081883222566/posts/566128842793218
HKS2017,"‘จั๊กกะบุ๋ม’ เปิดใจหลังปลดหนี้ ‘แม่ปูนา’ ได้สำเร็จ เจ้าอื่นที่เหลือ ตั้งใจเคลียร์ภายในปีนี้ ลบคำครหา ‘จั๊กกะบิด’

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#จั๊กกะบุ๋ม #แม่ปูนา #หนี้สิน #โหนกระแส",2024-11-21T15:30:02.000Z,https://www.facebook.com/100063145307143/posts/932979982150170
HKS2017,"นั่งวิปัสสนากับศพมีจริง แต่เพื่อปลงสังขาร ไม่ใช่โอ้อวดสร้างลัทธิหูทิพย์ตาทิพย์ ‘พระพยอม’ ชี้พระทำผิดควรขังคุก ไม่ใช่จับปล่อยๆ จนย่ามใจ

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#พระพยอม #หูทิพย์ตาทิพย์ #อสุภะกรรมฐาน #โหนกระแส",2024-11-21T15:00:16.000Z,https://www.facebook.com/100063145307143/posts/932963302151838
HKS2017,"พ่อเบนซ์ ปล่อยคอนเทนต์เอ็กซ์คลูซีฟ โชว์ระบำใต้น้ำจากซุปตาร์เขาเขียว คนดูอาจจะแยกลำบาก ว่านี่เป็นฮิปโป หรือว่าเป็นวาฬ หรือว่าเป็นเรือดำน้ำกันแน่ เพราะลีลาตอนอยู่ในน้ำ เด้งมากจริงๆ

ที่มา : ขาหมู แอนด์เดอะแก๊ง

#ขาหมู #หมูเด้ง #เขาเขียว #โหนกระแส",2024-11-21T14:30:23.000Z,https://www.facebook.com/100063145307143/posts/932944985487003
khobsanung,"สำหรับ Attack on Titan The Last Attack เดอะมูฟวี่ฉบับสุดท้ายของเนื้อหาที่จะเอา Part 3.2 และ Part 3.3 มารวมเป็นฉบับเดอะมูฟวี่และตัดต่อใหม่พร้อมเพิ่มฉากพิเศษ แม้จะมีการยืนยันแล้วว่าตัวหนังจะเข้าฉายในไทยแน่นอน แต่ตัวหนังยังไม่มีการกำหนดวันฉายที่แน่นอน 
.
แต่ตอนนี้ได้มีการประกาศวันฉายในโซนประเทศแถวบ้านเราแล้ว ซึ่งจะฉายช่วงเดือนมกราคมนี้ ซึ่งมีความเป็นไปได้ที่บ้านเราจะฉายในช่วงเวลาเดียวกัน",2024-11-21T10:48:15.000Z,https://www.facebook.com/100064520479802/posts/978000634360610
khobsanung,"วันนี้มางานเปิดตัวซีรีส์การุณยฆาตและทิชา

เลยขออนุญาตถ่ายรูปฝาแฝดแอดลงเพจสักหน่อยนะครับ",2024-11-21T09:45:12.000Z,https://www.facebook.com/100064520479802/posts/977969077697099
khobsanung,Pedro Pascal กับการทำไฮไลท์สีผมเพื่อรับบทเป็น Reed Richards ใน ‘THE FANTASTIC FOUR: FIRST STEPS’,2024-11-21T09:15:00.000Z,https://www.facebook.com/100064520479802/posts/977953847698622
newsth.18,"!!ชีวิตล่าสุด ‘เปิ้ล ชไมพร’ อดีตนางเอกดัง
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T13:05:40.000Z,https://www.facebook.com/100063738901281/posts/1143400891127864
newsth.18,".เปิดรูปที่ ‘หลิงหลิง-โป๊ป’ เป็นประเด็น หลังถ่ายปฏิทินช่อง 3 แฟนๆคอมเมนต์กันสนั่น
.",2024-11-20T12:26:45.000Z,https://www.facebook.com/100063738901281/posts/1143367051131248
newsth.18,".แพท ณปภา’ เผยเรื่องที่เพิ่งรู้เกี่ยวกับ ‘พี’ หลังยอมมีลูกคนที่2ให้
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T08:03:09.000Z,https://www.facebook.com/100063738901281/posts/1143223404478946
DramaAdd,"ลูกเพจส่งมา อันนี้ใจกลางกรุงระดับสุดๆไปเลย

เห็นจ่าลงเรื่องขอทาน นี่บน BTS SKYWALK สยามเชื่อม CTW มีทุกวัน
ตรงหน้า ctw ก็เยอะ แจ้ง traffy fondue จนท.มาไล่ แป๊บเดียวมาใหม่ มาทุกวัน ทำเป็นอาชีพ",2024-11-21T13:44:04.000Z,https://www.facebook.com/100044828388736/posts/1097407721763497
DramaAdd,ข่าวฝากประชาสัมพันธ์ ใครสะดวกบริจาคเลือดรบกวนด้วยครับ,2024-11-21T13:42:24.000Z,https://www.facebook.com/100044828388736/posts/1097406855096917
DramaAdd,ระวังมิจใช้มุกทักคนผิดด้วยนะ ช่วงนี้มามุกนี้กันเยอะมาก,2024-11-21T13:39:40.000Z,https://www.facebook.com/100044828388736/posts/1097405268430409
khobsanung,"Tokyo Override  แอนิเมชั่นซีรีส์ที่สร้างโดยทีมงานคนไทยอย่าง RiFF Studio  เจ้าของผลงานอย่าง นักรบมนตรา และ Out of the Nest

ตอนนี้ 6 EP. มาพร้อมพากย์ไทยดูได้แล้วทาง NETLFIX
.
โดยตัวแอนิเมชั่นเป็นผลงานกำกับร่วมระหว่างสองประเทศอย่าง คุณยูสุเกะ ฟูคุดะ, วีรภัทร ชินะนาวิน และเเป็นการดูแลงานผลิตโดยสองแบรนด์ยักษ์ใหญ่ของยานยนตร์อย่าง YAMAHA  และ Honda 
.
เนื้อหาเล่าเรื่อง ไคผู้โดดเดี่ยวพบว่าชีวิตของเธอต้องพลิกผันไปเมื่อได้พบกับกลุ่มมอเตอร์ไซค์ที่ไม่เหมือนใคร การพบกันนี้พาอะไรใหม่ๆ เข้ามาในชีวิตของเธอมากมาย ทั้งปัญหาที่คาดไม่ถึง ความลึกลับ การหักหลัง และพัฒนาการสุดดราม่าอื่นๆ ที่ทำให้เรื่องราวที่ไม่สามารถคาดเดาได้นี้ดำเนินไปอย่างรวดเร็วยิ่งขึ้น",2024-11-21T08:21:47.000Z,https://www.facebook.com/100064520479802/posts/977927514367922
khobsanung,"ตัวอย่างใหม่ของ  Here ที่นี่ นิรันดร แบบซับไทย

ภาพยตร์ที่ตลอดทั้งเรื่องจะแช่ภาพไว้อยู่แค่ 1 เฟรมตลอดทั้งเรื่องและเราจะได้เห็นการเปลี่ยนผ่านของเวลาตั้งแต่ยุคหินมาจนถึงยุคปัจจุบัน

ตัวหนังนำแสดงโดย ทอม แฮงค์ส' และ 'โรบิน ไรต์' และเป็นหนังของผู้กำกับ Forrest Gump
หนังเข้าฉาย 5 ธันวานี้

ลิงก์ตัวอย่างในเม้นท์",2024-11-21T07:58:32.000Z,https://www.facebook.com/100064520479802/posts/977913347702672
khobsanung,"โปสเตอร์แรกของ 'Moving' Season 2 

ที่ได้ยืนยันแล้วว่าตัวซีรีส์กำลังอยู่ในกระบวนการสร้าง คาดว่าจะได้ดูช่วงปี 2026 ทาง Disney+ Hotstar เป็นอย่างต่ำ",2024-11-21T07:28:11.000Z,https://www.facebook.com/100064520479802/posts/977898261037514
HKS2017,"พอครูใหญ่ไม่อยู่ก็ไม่ตั้งใจเรียนเลย ‘ทนายรพีพัฒน์’ อธิบายข้อกฎหมาย นักเรียนเอาแต่เมนต์ “ทนายหล่อมาก, กล้องช่วยจับหน้าบ่อยๆ”

ติดตามรายละเอียดเพิ่มเติมในคอมเมนต์

#แอม #วางยาพิษ #ไซยาไนด์ #ทนายรพีพัฒน์ #โหนกระแส",2024-11-21T14:00:11.000Z,https://www.facebook.com/100063145307143/posts/932927632155405
